pop,lon,lat,date,year,month,day,tasmin_mean,tasmax_mean,pr_mean
pop1,-66.351746,46.01555,2090-01-01,2090,1,1,267.10938,274.25522,2.5448418e-05
pop1,-66.351746,46.01555,2090-01-02,2090,1,2,264.9922,272.44272,1.466829e-05
pop1,-66.351746,46.01555,2090-01-03,2090,1,3,263.76562,271.43228,3.0057314e-05
pop1,-66.351746,46.01555,2090-01-04,2090,1,4,264.91147,273.16666,7.123079e-05
pop1,-66.351746,46.01555,2090-01-05,2090,1,5,265.0,272.90625,1.832055e-05
pop1,-66.351746,46.01555,2090-01-06,2090,1,6,265.95572,273.84897,3.4284294e-05
pop1,-66.351746,46.01555,2090-01-07,2090,1,7,264.45312,272.40625,1.9995847e-05
pop1,-66.351746,46.01555,2090-01-08,2090,1,8,265.73438,272.52084,3.2895005e-05
pop1,-66.351746,46.01555,2090-01-09,2090,1,9,264.63022,272.30728,3.6127036e-05
pop1,-66.351746,46.01555,2090-01-10,2090,1,10,266.1979,274.27084,5.8061578e-05
pop1,-66.351746,46.01555,2090-01-11,2090,1,11,269.5521,274.9479,4.8671627e-05
pop1,-66.351746,46.01555,2090-01-12,2090,1,12,268.44272,273.98438,3.7287376e-05
pop1,-66.351746,46.01555,2090-01-13,2090,1,13,265.375,273.67188,1.6553728e-05
pop1,-66.351746,46.01555,2090-01-14,2090,1,14,264.67447,272.53647,2.326441e-05
pop1,-66.351746,46.01555,2090-01-15,2090,1,15,266.80728,275.97916,6.611377e-05
pop1,-66.351746,46.01555,2090-01-16,2090,1,16,268.6328,275.99478,5.02898e-05
pop1,-66.351746,46.01555,2090-01-17,2090,1,17,267.47656,273.8646,4.6214638e-05
pop1,-66.351746,46.01555,2090-01-18,2090,1,18,267.09897,273.77084,2.9514888e-05
pop1,-66.351746,46.01555,2090-01-19,2090,1,19,265.1849,272.9375,1.3533526e-05
pop1,-66.351746,46.01555,2090-01-20,2090,1,20,264.6224,272.36978,4.682447e-05
pop1,-66.351746,46.01555,2090-01-21,2090,1,21,264.90366,273.94272,6.0845236e-05
pop1,-66.351746,46.01555,2090-01-22,2090,1,22,265.0026,273.24478,1.49485195e-05
pop1,-66.351746,46.01555,2090-01-23,2090,1,23,265.27084,274.4479,3.3272834e-05
pop1,-66.351746,46.01555,2090-01-24,2090,1,24,267.15625,276.28125,5.6566572e-05
pop1,-66.351746,46.01555,2090-01-25,2090,1,25,266.79166,276.29688,9.44321e-05
pop1,-66.351746,46.01555,2090-01-26,2090,1,26,267.45312,274.8125,7.714307e-05
pop1,-66.351746,46.01555,2090-01-27,2090,1,27,265.8125,273.88022,4.4132055e-05
pop1,-66.351746,46.01555,2090-01-28,2090,1,28,267.08334,274.49478,0.00010791679
pop1,-66.351746,46.01555,2090-01-29,2090,1,29,265.59116,272.52603,2.9937177e-05
pop1,-66.351746,46.01555,2090-01-30,2090,1,30,263.33072,270.54688,6.5649285e-05
pop1,-66.351746,46.01555,2090-01-31,2090,1,31,261.75284,270.80682,3.3819586e-05
pop1,-66.351746,46.01555,2090-02-01,2090,2,1,265.0547,272.36978,8.8629204e-05
pop1,-66.351746,46.01555,2090-02-02,2090,2,2,263.41666,272.125,5.5681016e-06
